Date,Temperature,Source,HotSpot,Stress,W_Stress,DHW
1981-09-01,27.8499984741211,OI_SST,0,0,0,NA
1981-09-02,27.5699996948242,OI_SST,0,0,0,NA
1981-09-03,27.2899990081787,OI_SST,0,0,0,NA
1981-09-04,28.2899990081787,OI_SST,0,0,0,NA
1981-09-05,28.5100002288818,OI_SST,0,0,0,NA
1981-09-06,28.3599987030029,OI_SST,0,0,0,NA
1981-09-07,28.0100002288818,OI_SST,0,0,0,NA
1981-09-08,27.8499984741211,OI_SST,0,0,0,NA
1981-09-09,27.8099994659424,OI_SST,0,0,0,NA
1981-09-10,27.8999996185303,OI_SST,0,0,0,NA
1981-09-11,27.9499988555908,OI_SST,0,0,0,NA
1981-09-12,28.3699989318848,OI_SST,0,0,0,NA
1981-09-13,28.4099998474121,OI_SST,0,0,0,NA
1981-09-14,28.189998626709,OI_SST,0,0,0,NA
1981-09-15,27.769998550415,OI_SST,0,0,0,NA
1981-09-16,27.8299999237061,OI_SST,0,0,0,NA
1981-09-17,27.8599987030029,OI_SST,0,0,0,NA
1981-09-18,27.6999988555908,OI_SST,0,0,0,NA
1981-09-19,27.6800003051758,OI_SST,0,0,0,NA
1981-09-20,27.8299999237061,OI_SST,0,0,0,NA
1981-09-21,27.7899990081787,OI_SST,0,0,0,NA
1981-09-22,27.7199993133545,OI_SST,0,0,0,NA
1981-09-23,28.2799987792969,OI_SST,0,0,0,NA
1981-09-24,28.7199993133545,OI_SST,0,0,0,NA
1981-09-25,28.5,OI_SST,0,0,0,NA
1981-09-26,28.4200000762939,OI_SST,0,0,0,NA
1981-09-27,28.4899997711182,OI_SST,0,0,0,NA
1981-09-28,28.6099987030029,OI_SST,0,0,0,NA
1981-09-29,28.5399990081787,OI_SST,0,0,0,NA
1981-09-30,28.5499992370605,OI_SST,0,0,0,NA
1981-10-01,28.5499992370605,OI_SST,0,0,0,NA
1981-10-02,28.5900001525879,OI_SST,0,0,0,NA
1981-10-03,28.7099990844727,OI_SST,0,0,0,NA
1981-10-04,28.5399990081787,OI_SST,0,0,0,NA
1981-10-05,28.4499988555908,OI_SST,0,0,0,NA
1981-10-06,28.5,OI_SST,0,0,0,NA
1981-10-07,28.1800003051758,OI_SST,0,0,0,NA
1981-10-08,27.9499988555908,OI_SST,0,0,0,NA
1981-10-09,28.0100002288818,OI_SST,0,0,0,NA
1981-10-10,28.2399997711182,OI_SST,0,0,0,NA
1981-10-11,28.3099994659424,OI_SST,0,0,0,NA
1981-10-12,28.189998626709,OI_SST,0,0,0,NA
1981-10-13,27.8099994659424,OI_SST,0,0,0,NA
1981-10-14,27.3999996185303,OI_SST,0,0,0,NA
1981-10-15,27.4300003051758,OI_SST,0,0,0,NA
1981-10-16,27.3999996185303,OI_SST,0,0,0,NA
1981-10-17,27.8400001525879,OI_SST,0,0,0,NA
1981-10-18,28.3799991607666,OI_SST,0,0,0,NA
1981-10-19,28.1399993896484,OI_SST,0,0,0,NA
1981-10-20,27.1800003051758,OI_SST,0,0,0,NA
1981-10-21,27.1999988555908,OI_SST,0,0,0,NA
1981-10-22,27.5799999237061,OI_SST,0,0,0,NA
1981-10-23,27.939998626709,OI_SST,0,0,0,NA
1981-10-24,28.4300003051758,OI_SST,0,0,0,NA
1981-10-25,28.4699993133545,OI_SST,0,0,0,NA
1981-10-26,28.3299999237061,OI_SST,0,0,0,NA
1981-10-27,28.1499996185303,OI_SST,0,0,0,NA
1981-10-28,27.6700000762939,OI_SST,0,0,0,NA
1981-10-29,27.5699996948242,OI_SST,0,0,0,NA
1981-10-30,27.5999984741211,OI_SST,0,0,0,NA
1981-10-31,27.3199996948242,OI_SST,0,0,0,NA
1981-11-01,26.4699993133545,OI_SST,0,0,0,NA
1981-11-02,25.6599998474121,OI_SST,0,0,0,NA
1981-11-03,25.9799995422363,OI_SST,0,0,0,NA
1981-11-04,26.1399993896484,OI_SST,0,0,0,NA
1981-11-05,26.6199989318848,OI_SST,0,0,0,NA
1981-11-06,26.8799991607666,OI_SST,0,0,0,NA
1981-11-07,26.75,OI_SST,0,0,0,NA
1981-11-08,26.6299991607666,OI_SST,0,0,0,NA
1981-11-09,26.7299995422363,OI_SST,0,0,0,NA
1981-11-10,26.5599994659424,OI_SST,0,0,0,NA
1981-11-11,26.4099998474121,OI_SST,0,0,0,NA
1981-11-12,25.6299991607666,OI_SST,0,0,0,NA
1981-11-13,25.3500003814697,OI_SST,0,0,0,NA
1981-11-14,25.4699993133545,OI_SST,0,0,0,NA
1981-11-15,25.8400001525879,OI_SST,0,0,0,NA
1981-11-16,26.2600002288818,OI_SST,0,0,0,NA
1981-11-17,26.5399990081787,OI_SST,0,0,0,NA
1981-11-18,27.0999984741211,OI_SST,0,0,0,NA
1981-11-19,27.4899997711182,OI_SST,0,0,0,NA
1981-11-20,27.5,OI_SST,0,0,0,NA
1981-11-21,27.6599998474121,OI_SST,0,0,0,NA
1981-11-22,27.6499996185303,OI_SST,0,0,0,NA
1981-11-23,27.6999988555908,OI_SST,0,0,0,0
1981-11-24,27.9099998474121,OI_SST,0,0,0,0
1981-11-25,27.4499988555908,OI_SST,0,0,0,0
1981-11-26,27.3799991607666,OI_SST,0,0,0,0
1981-11-27,27.439998626709,OI_SST,0,0,0,0
1981-11-28,27.4599990844727,OI_SST,0,0,0,0
1981-11-29,27.3299999237061,OI_SST,0,0,0,0
1981-11-30,27.2399997711182,OI_SST,0,0,0,0
1981-12-01,26.8899993896484,OI_SST,0,0,0,0
1981-12-02,27.4300003051758,OI_SST,0,0,0,0
1981-12-03,27.5900001525879,OI_SST,0,0,0,0
1981-12-04,27.6399993896484,OI_SST,0,0,0,0
1981-12-05,27.5799999237061,OI_SST,0,0,0,0
1981-12-06,28.2399997711182,OI_SST,0,0,0,0
1981-12-07,28.0699996948242,OI_SST,0,0,0,0
1981-12-08,28.4799995422363,OI_SST,0,0,0,0
1981-12-09,28.8099994659424,OI_SST,0,0,0,0
1981-12-10,28.8999996185303,OI_SST,0,0,0,0
1981-12-11,29,OI_SST,0,0,0,0
1981-12-12,28.9699993133545,OI_SST,0,0,0,0
1981-12-13,28.2299995422363,OI_SST,0,0,0,0
1981-12-14,28.0699996948242,OI_SST,0,0,0,0
1981-12-15,28.0399990081787,OI_SST,0,0,0,0
1981-12-16,28.0799999237061,OI_SST,0,0,0,0
1981-12-17,28.0100002288818,OI_SST,0,0,0,0
1981-12-18,28.1399993896484,OI_SST,0,0,0,0
1981-12-19,28.1399993896484,OI_SST,0,0,0,0
1981-12-20,28.1700000762939,OI_SST,0,0,0,0
1981-12-21,28.269998550415,OI_SST,0,0,0,0
1981-12-22,28.439998626709,OI_SST,0,0,0,0
1981-12-23,28.3999996185303,OI_SST,0,0,0,0
1981-12-24,28.1599998474121,OI_SST,0,0,0,0
1981-12-25,28.3999996185303,OI_SST,0,0,0,0
1981-12-26,28.7600002288818,OI_SST,0,0,0,0
1981-12-27,28.8799991607666,OI_SST,0,0,0,0
1981-12-28,28.5,OI_SST,0,0,0,0
1981-12-29,28.0100002288818,OI_SST,0,0,0,0
1981-12-30,27.8099994659424,OI_SST,0,0,0,0
1981-12-31,28.3699989318848,OI_SST,0,0,0,0
1982-01-01,28.7600002288818,OI_SST,0,0,0,0
1982-01-02,29.3699989318848,OI_SST,0.2055471965245239,0,0,0
1982-01-03,29.5100002288818,OI_SST,0.34554849352152317,0,0,0
1982-01-04,28.8899993896484,OI_SST,0,0,0,0
1982-01-05,28.1099987030029,OI_SST,0,0,0,0
